,bandwidth,pps,packetsize,cpu,modified_bandwidth
0,404.44,12962.0,64,10,404.44
1,411.85,13889.0,64,10,411.85
2,352.32,11810.0,64,10,352.32
3,358.05,12758.0,64,10,358.05
4,406.96,13189.0,64,10,406.96
5,405.62,13028.0,64,10,405.62
6,332.68,11858.0,64,10,332.68
7,353.91,11936.0,64,10,353.91
8,403.81,12822.0,64,10,403.81
9,397.17,13027.0,64,10,397.17
10,567.98,35344.0,64,20,567.98
11,600.79,35367.0,64,20,600.79
12,566.89,35685.0,64,20,566.89
13,566.43,34998.0,64,20,566.43
14,603.28,36138.0,64,20,603.28
15,581.06,35469.0,64,20,581.06
16,584.65,35760.0,64,20,584.65
17,575.67,35444.0,64,20,575.67
18,572.7,35687.0,64,20,572.7
19,580.44,35576.0,64,20,580.44
20,554.56,48549.0,64,30,554.56
21,537.57,46987.0,64,30,537.57
22,554.45,48580.0,64,30,554.45
23,536.26,47310.0,64,30,536.26
24,543.92,47576.0,64,30,543.92
25,543.84,47981.0,64,30,543.84
26,550.34,48271.0,64,30,550.34
27,547.7,47762.0,64,30,547.7
28,548.62,48382.0,64,30,548.62
29,540.78,47032.0,64,30,540.78
30,558.58,49319.0,64,40,558.58
31,567.12,50088.0,64,40,567.12
32,567.92,50008.0,64,40,567.92
33,565.96,49877.0,64,40,565.96
34,566.96,50037.0,64,40,566.96
35,563.21,49180.0,64,40,563.21
36,563.33,49686.0,64,40,563.33
37,550.08,48319.0,64,40,550.08
38,568.78,50102.0,64,40,568.78
39,572.72,50180.0,64,40,572.72
40,583.18,51401.0,64,50,583.18
41,583.92,51500.0,64,50,583.92
42,584.18,51355.0,64,50,584.18
43,606.37,51929.0,64,50,606.37
44,575.28,50781.0,64,50,575.28
45,577.05,50792.0,64,50,577.05
46,584.9,51640.0,64,50,584.9
47,585.75,51455.0,64,50,585.75
48,575.94,50603.0,64,50,575.94
49,572.55,50574.0,64,50,572.55
50,582.69,51321.0,64,60,582.69
51,587.31,51605.0,64,60,587.31
52,591.78,51711.0,64,60,591.78
53,583.92,51603.0,64,60,583.92
54,597.79,52822.0,64,60,597.79
55,601.06,52846.0,64,60,601.06
56,602.66,53024.0,64,60,602.66
57,601.56,52401.0,64,60,601.56
58,596.22,52664.0,64,60,596.22
59,598.66,52545.0,64,60,598.66
60,620.52,54401.0,64,70,620.52
61,585.25,52119.0,64,70,585.25
62,607.16,53722.0,64,70,607.16
