,bandwidth,pps,packetsize,cpu
0,399.52,10836.0,512,10
1,439.64,10144.0,512,10
2,424.14,11261.0,512,10
3,395.63,10550.0,512,10
4,400.03,10707.0,512,10
5,394.58,10807.0,512,10
6,393.58,10254.0,512,10
7,414.85,10747.0,512,10
8,410.62,10815.0,512,10
9,413.14,10394.0,512,10
10,628.26,22946.0,512,20
11,579.07,21474.0,512,20
12,593.73,21939.0,512,20
13,662.08,22865.0,512,20
14,650.37,21337.0,512,20
15,638.63,22578.0,512,20
16,631.35,22306.0,512,20
17,611.31,22076.0,512,20
18,620.35,22596.0,512,20
19,760.65,27535.0,512,20
20,790.29,40330.0,512,30
21,777.53,39086.0,512,30
22,770.41,38548.0,512,30
23,751.98,38738.0,512,30
24,760.48,39241.0,512,30
25,769.92,39912.0,512,30
26,785.36,40041.0,512,30
27,764.52,39292.0,512,30
28,738.36,38832.0,512,30
29,743.61,38714.0,512,30
30,1.17,59619.0,512,40
31,1.31,60716.0,512,40
32,1.28,61223.0,512,40
33,1.3,62265.0,512,40
34,1.29,59616.0,512,40
35,1.28,60839.0,512,40
36,1.24,59127.0,512,40
37,1.27,61334.0,512,40
38,1.3,60993.0,512,40
39,1.27,59855.0,512,40
40,2.01,106414.0,512,50
41,1.88,107619.0,512,50
42,2.04,106202.0,512,50
43,2.11,105268.0,512,50
44,2.11,106851.0,512,50
45,2.21,105314.0,512,50
46,2.12,106531.0,512,50
47,2.16,106537.0,512,50
48,2.19,106509.0,512,50
49,2.17,106810.0,512,50
50,2.16,126040.0,512,60
51,2.19,125096.0,512,60
52,2.18,125346.0,512,60
53,2.2,125698.0,512,60
54,2.12,127424.0,512,60
55,2.16,125580.0,512,60
56,2.14,124795.0,512,60
57,2.14,126169.0,512,60
58,2.14,125093.0,512,60
59,2.19,123892.0,512,60
60,2.19,129851.0,512,70
61,2.19,128889.0,512,70
62,2.17,128551.0,512,70
63,2.17,129095.0,512,70
64,2.17,131141.0,512,70
65,2.19,128913.0,512,70
66,2.2,129522.0,512,70
67,2.14,127988.0,512,70
68,2.12,126584.0,512,70
69,2.14,127037.0,512,70
70,2.2,129479.0,512,80
71,2.22,129057.0,512,80
72,2.19,129711.0,512,80
73,2.17,130419.0,512,80
74,2.14,128464.0,512,80
75,2.18,129877.0,512,80
76,2.18,128104.0,512,80
77,2.14,128527.0,512,80
78,2.15,127575.0,512,80
79,2.21,129433.0,512,80
80,2.14,133045.0,512,90
81,2.11,129678.0,512,90
82,2.18,128123.0,512,90
83,2.16,130476.0,512,90
84,2.2,129804.0,512,90
85,2.22,130102.0,512,90
86,2.21,130053.0,512,90
87,2.1,134983.0,512,90
88,2.2,129179.0,512,90
89,2.19,129934.0,512,90
90,2.17,130245.0,512,100
91,2.19,128981.0,512,100
92,2.19,129140.0,512,100
93,2.18,129217.0,512,100
94,2.2,128394.0,512,100
95,2.19,128391.0,512,100
96,2.2,129233.0,512,100
97,2.17,130972.0,512,100
98,2.15,129630.0,512,100
99,2.18,128094.0,512,100
